E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
745,476.8,60,42.27681818,49.0,279.9342105,38.896,1.273327902,48.0,4.0,Moderate
921,589.44,80,100.6590909,42.0,399.8930921,63.206,0.913165517,56.0,5.0,Poor
510,326.4,30,41.47154545,45.0,219.9342105,38.896,1.319283964,24.0,2.0,Moderate
422,270.08,10,10.66986364,27.0,159.9671053,19.448,0.928155164,32.0,1.0,Moderate
2321,1485.44,340,128.8436364,298.0,519.84375,92.378,5.682664477,56.0,5.0,Bad
1030,659.2,60,66.435,73.0,339.9424342,34.034,1.72144176,80.0,22.0,Poor
2129,1362.56,330,193.2654545,162.0,739.7861842,126.412,2.589608252,88.0,13.0,Poor
982,628.48,40,144.9490909,85.0,299.9259868,43.758,2.133949028,48.0,5.0,Poor
2420,1548.8,290,134.8831818,321.0,519.8355263,97.24,6.121307804,48.0,6.0,Bad
250,160.0,30,24.3595,10.20021285,99.98355263,9.724,0.443523991,24.0,3.2,Moderate
1840,1177.6,380,159.444,150.3975766,599.8190789,106.964,2.669948378,64.0,1.9,Poor
1550,992.0,140,11.29395,190.9923317,359.8766447,72.93,4.377349903,24.0,6.0,Poor
1390,889.6,170,70.864,161.8440782,339.8848684,68.068,3.816832154,24.0,8.0,Poor
2520,1612.8,280,735.214,235.1246184,739.7203947,165.308,3.758689678,24.0,17.0,Bad
869,556.16,90,7.9722,72.64980488,279.9259868,43.758,1.887926173,40.0,0.77,Poor
782,500.48,60,219.2355,22.59306207,259.9506579,29.172,0.609258784,56.0,67.13,Poor
2880,1843.2,480,210.3775,326.4744644,719.7368421,155.584,5.290960448,32.0,19.5,Bad
490,313.6,40,0.4429,29.8891904,159.9671053,19.448,1.027474311,32.0,17.6,Moderate
1010,646.4,110,95.2235,81.68477438,319.9424342,34.034,1.985534124,72.0,9.8,Poor
460,294.4,30,0.8858,39.99707701,99.99177632,4.862,1.739074858,32.0,35.47,Moderate
1081,691.84,160,141.728,85.27975782,339.9259868,43.758,2.011064218,64.0,16.1,Poor
2080,1331.2,360,335.2753,68.17983978,899.7532895,145.86,0.98824908,120.0,1.9,Poor
1290,825.6,130,57.35555,193.8426385,219.9506579,29.172,5.682753839,40.0,7.9,Poor
991,634.24,110,18.136755,73.11603375,339.9342105,38.896,1.724198853,72.0,1.23,Poor
421,269.44,20,3.422409091,27.0,139.9671053,19.448,0.992254181,24.0,2.0,Moderate
404,258.56,40,22.145,16.0,159.9588816,24.31,0.550032013,24.0,4.0,Moderate
368,235.52,30,29.99640909,22.0,139.9753289,14.586,0.808479657,32.0,3.0,Moderate
1452,929.28,190,121.3948636,156.0,379.8930921,63.206,3.479894391,48.0,1.0,Poor
819,524.16,60,37.42505,33.18059628,339.9671053,19.448,0.782416322,104.0,1.17,Poor
1149,735.36,220,22.167145,164.4849717,219.9835526,9.724,4.821734384,72.0,2.1,Poor
1194,764.16,110,58.68425,101.9418385,359.9506579,29.172,2.336162993,96.0,16.74,Poor
1445,924.8,170,52.7051,94.40207972,519.9506579,29.172,1.800000642,160.0,3.56,Poor
779,498.56,60,10.164555,57.11590859,239.9588816,24.31,1.603100831,56.0,22.89,Poor
1379,882.56,160,118.6972,80.16061447,519.9588816,24.31,1.528441078,168.0,1.7,Poor
1231,787.84,120,38.31085,105.3718166,379.9259868,43.758,2.35042897,80.0,9.9,Poor
839,536.96,90,52.04075,78.69718452,239.9671053,19.448,2.20879547,64.0,9.89,Poor
2227,1425.28,520,39.45836364,282.0,539.8684211,77.792,5.276881116,88.0,10.0,Poor
776,496.64,150,63.21390909,85.0,259.9177632,48.62,2.292308735,24.0,6.0,Poor
1140,729.6,110,77.30618182,135.0,259.9342105,38.896,3.640610452,40.0,7.0,Poor
624,399.36,100,45.09527273,92.0,139.9671053,19.448,3.381014248,24.0,1.0,Moderate
1027,657.28,140,41.67286364,107.0,299.9424342,34.034,2.686191595,64.0,6.0,Poor
564,360.96,50,5.234272727,70.0,179.9671053,19.448,2.268682068,40.0,2.0,Moderate
1083,693.12,170,62.40863636,30.0,539.8355263,97.24,0.561387435,56.0,2.0,Poor
973,622.72,100,62.81127273,165.0,120.0,5.0,6.548856666,48.0,14.0,Poor
1458,933.12,240,18.31995455,202.0,399.9177632,48.62,4.391755826,80.0,14.0,Poor
1234,789.76,140,22.74895455,165.0,199.9424342,34.034,5.073452757,24.0,45.0,Poor
1265,809.6,120,46.5045,200.0,219.9342105,38.896,5.863484282,24.0,13.0,Poor
742,474.88,120,43.68604545,52.0,279.9506579,29.172,1.351247058,64.0,4.0,Moderate
1087,695.68,150,82.54045455,112.0,299.9342105,38.896,2.811753112,56.0,2.0,Poor
1057,676.48,150,62.81127273,114.0,379.9013158,58.344,2.542972223,56.0,4.0,Poor
550,352.0,30,24.76213636,61.0,159.9506579,29.172,2.097050957,16.0,8.0,Moderate
1664,1064.96,230,177.16,188.0,439.9013158,58.344,3.897197208,80.0,8.0,Poor
923,590.72,110,72.87718182,114.0,259.9424342,34.034,3.07424464,48.0,6.0,Poor
1053,673.92,110,46.30318182,133.0,259.9424342,34.034,3.586618747,48.0,7.0,Poor
307,196.48,20,5.435590909,42.0,99.96710526,19.448,1.826387374,8.0,2.0,Moderate
1280,819.2,150,43.08209091,136.0,359.9095395,53.482,3.116839172,56.0,3.0,Poor
1857,1188.48,340,26.574,214.0,459.8930921,63.206,4.338678745,80.0,12.0,Poor
3290,2105.6,720,1.06296,714.8001947,99.99177632,4.862,31.0795473,32.0,5.9,Bad
2000,1280.0,340,149.92165,92.84248259,799.7286184,160.446,1.427406237,56.0,6.6,Poor
2120,1356.8,390,21.812825,196.2029156,639.8519737,87.516,3.372390552,112.0,3.3,Poor
2890,1849.6,600,68.2066,218.734442,979.7203947,165.308,3.038353229,120.0,3.3,Bad
1304,834.56,190,77.9504,44.22634977,559.9588816,24.31,0.812596957,184.0,1.89,Poor
2780,1779.2,370,134.6416,568.3305615,159.9588816,24.31,19.53750018,24.0,6.6,Bad
1266,810.24,180,183.13915,100.0220632,419.9342105,38.896,2.122156188,104.0,1.53,Poor
583,373.12,30,46.5045,24.83216741,239.9588816,24.31,0.696976888,56.0,0.37,Moderate
